Series,Part Number,Name,Subcategory,Images,Comments
Drift,8021,"Side Chair, High Four Star Swivel Base",Side Chair - Four Star Base,TRUE,
Drift,8021P,"Side Chair, High Four Star Swivel Base, Arm Patches",Side Chair - Four Star Base,TRUE,
Drift,8051,"Counter Stool, Sled Base",Stools,TRUE,
Drift,8052,"Counter Stool, Four Leg Wood Base",Stools,TRUE,
Drift,8053,"Counter Stool, Chrome Swivel Base",Stools,TRUE,
Drift,8054,"Bar Stool, Sled Base",Stools,TRUE,
Drift,8055,"Bar Stool, Four Leg Wood Base",Stools,TRUE,
Drift,8056,"Bar Stool, Chrome Swivel Base",Stools,TRUE,
Stream,2073APP,"Tilter, Polypropylene Seat & Back",Task Seating,FALSE,
Stream,2073APU,"Tilter, Upholstered Seat & Polypropylene Back ",Task Seating,FALSE,
Stream,2073AUU,"Tilter, Upholstered Seat & Back",Task Seating,FALSE,
Stream,2073NPP,"Armless Tilter, Polypropylene Seat & Back",Task Seating,FALSE,
